,amount,brick_size,num_created_bars,price,rebuilding_status,renko_price
2020-07-11 20:54:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:55:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:56:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:57:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 20:58:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 20:59:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:00:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:01:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 21:02:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:03:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:04:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:05:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:06:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:07:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:08:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 21:09:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:10:00+00:00,116617.54133766111,5.743960571006298e-05,0.4,0.0185,0,0.018474396057100613
2020-07-11 21:11:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 21:12:00+00:00,116617.54133766111,5.743960571006298e-05,-2.0,0.0183,0,0.018302077239970425
2020-07-11 21:13:00+00:00,0.0,5.4166281923188316e-05,0.0,0.018,1,0.017991667436153626
2020-07-11 21:14:00+00:00,0.0,5.4166281923188316e-05,5.7,0.0183,0,0.018262498845769564
2020-07-11 21:15:00+00:00,116271.51351410228,5.4166281923188316e-05,0.7,0.0183,0,0.018262498845769564
2020-07-11 21:16:00+00:00,116271.51351410228,5.4166281923188316e-05,0.7,0.0183,0,0.018262498845769564
2020-07-11 21:17:00+00:00,116271.51351410228,5.4166281923188316e-05,0.7,0.0183,0,0.018262498845769564
2020-07-11 21:18:00+00:00,116271.51351410228,5.4166281923188316e-05,0.7,0.0183,0,0.018262498845769564
2020-07-11 21:19:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:20:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:21:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:22:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:23:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:24:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:25:00+00:00,116271.51351410228,5.4166281923188316e-05,0.0,0.0182,0,0.018262498845769564
2020-07-11 21:26:00+00:00,116271.51351410228,5.4166281923188316e-05,-2.0,0.0181,0,0.0181
2020-07-11 21:27:00+00:00,0.0,0.000156409948342124,0.0,0.0178,1,0.01786922984502637
2020-07-11 21:28:00+00:00,0.0,0.000156409948342124,2.1,0.0182,0,0.018182049741710615
2020-07-11 21:29:00+00:00,115921.74037242794,0.000156409948342124,0.1,0.0182,0,0.018182049741710615
2020-07-11 21:30:00+00:00,115921.74037242794,0.000156409948342124,0.1,0.0182,0,0.018182049741710615
2020-07-11 21:31:00+00:00,115921.74037242794,0.000156409948342124,0.8,0.0183,0,0.018182049741710615
2020-07-11 21:32:00+00:00,115921.74037242794,0.000156409948342124,0.8,0.0183,0,0.018182049741710615
2020-07-11 21:33:00+00:00,115921.74037242794,0.000156409948342124,1.4,0.0184,0,0.01833845969005274
2020-07-11 21:34:00+00:00,115921.74037242794,0.000156409948342124,0.0,0.0183,0,0.01833845969005274
2020-07-11 21:35:00+00:00,115921.74037242794,0.000156409948342124,0.0,0.0183,0,0.01833845969005274
2020-07-11 21:36:00+00:00,115921.74037242794,0.000156409948342124,0.4,0.0184,0,0.01833845969005274
2020-07-11 21:37:00+00:00,115921.74037242794,0.000156409948342124,0.4,0.0184,0,0.01833845969005274
2020-07-11 21:38:00+00:00,115921.74037242794,0.000156409948342124,0.0,0.0183,0,0.01833845969005274
2020-07-11 21:39:00+00:00,115921.74037242794,0.000156409948342124,0.0,0.0183,0,0.01833845969005274
